RWS_DAU_10,RWS_10,DS_10,GS_10,SD_10,FF_10,DD_10,PP_10,TT_10,TM5_10,RF_10,load
60,0.07,0.0,0.0,0.0,41.7,1750,6125.4,31.2,29.0,575.6,903.6656861743776
56,0.06,0.0,0.0,0.0,40.2,1710,6122.8,32.0,30.0,576.8,1009.8564916258111
48,0.0,0.0,0.0,0.0,39.3,1680,6118.5,33.0,31.099999999999998,577.7,836.5537495743492
33,0.03,0.0,0.0,0.0,43.5,1710,6116.7,34.7,32.6,577.6,710.8530501749894
14,0.0,0.0,0.0,0.0,49.9,1740,6112.8,36.4,34.2,570.4,625.3061228755994
25,0.0,0.0,0.0,0.0,50.0,1700,6109.2,37.8,35.4,571.1,590.0652958495838
42,0.23,0.0,0.0,0.0,48.1,1680,6104.5,39.1,36.6,571.6,484.32163132503075
53,0.6699999999999999,0.0,0.0,0.0,50.7,1720,6100.1,40.2,37.8,571.7,441.27897709996915
60,0.29000000000000004,0.0,0.0,0.0,52.0,1720,6094.7,41.0,38.7,573.5,465.25252567523955
60,0.4,0.0,0.0,0.0,52.9,1750,6090.8,42.2,39.8,571.6,405.70808607492353
60,0.6699999999999999,0.0,0.0,0.0,50.2,1800,6089.8,43.2,40.8,572.0,382.8088080750118
60,0.11,0.0,0.0,0.0,47.1,1820,6089.9,44.4,41.9,571.1,418.4128766994203
60,0.16,0.0,0.0,0.0,48.6,1870,6092.6,45.0,42.4,565.5,386.89846875107014
60,0.03,3.9000000000000004,3.9000000000000004,0.0,43.3,1890,6096.2,44.6,42.7,569.0,401.7288384492727
60,0.0,9.8,9.8,0.0,36.2,1860,6097.8,44.9,43.7,570.8,482.6082229997862
53,0.13,15.2,15.2,0.0,36.1,1880,6099.3,45.699999999999996,44.8,569.0,503.21252750020994
60,0.11,23.5,23.5,0.0,39.4,1910,6099.4,45.9,45.2,563.5,913.9281340248427
59,0.0,23.1,23.1,0.0,36.9,1930,6097.5,46.0,45.7,561.1,929.9854549251022
58,0.0,11.5,11.5,0.0,36.8,1920,6099.4,45.2,44.0,560.7,775.3216117000077
12,0.0,3.2,3.2,0.0,38.9,1910,6101.9,44.6,42.3,550.9,1140.5693702498352
14,0.0,0.0,0.0,0.0,37.7,1870,6103.3,43.4,41.4,561.5,1247.576948625081
22,0.0,0.0,0.0,0.0,36.2,1900,6106.5,43.5,41.2,553.4,893.4215026500424
28,0.11000000000000001,0.0,0.0,0.0,28.200000000000003,1880,6108.6,42.1,39.8,562.8,973.6769774001458
0,0.0,0.0,0.0,0.0,31.1,1860,6109.8,41.1,38.6,557.6,994.838421850133
10,0.0,0.0,0.0,0.0,25.4,1920,6111.9,40.1,37.9,560.1,1056.21683399967
